relative_ms,protocol,can_id,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7
1212,CAN,512,152,16,45,255,148,88,0,0
1225,CAN,256,59,103,59,103,34,255,0,0
1237,CAN,512,51,16,48,3,153,84,0,0
1250,CAN,256,204,94,45,98,149,255,0,0
1262,CAN,512,8,17,82,255,156,90,0,0
1275,CAN,256,28,67,52,81,160,255,0,0
1287,CAN,512,175,16,117,0,162,82,0,0
1300,CAN,256,85,65,64,124,103,0,0,0
1312,CAN,512,149,16,153,254,159,85,0,0
1325,CAN,256,18,90,67,72,229,254,0,0
1337,CAN,512,171,16,128,1,164,87,0,0
1350,CAN,256,103,102,47,108,201,255,0,0
1362,CAN,512,71,16,217,254,141,91,0,0
1375,CAN,256,190,108,86,125,21,1,0,0
1387,CAN,512,97,16,163,1,159,86,0,0
1400,CAN,256,91,76,84,112,165,1,0,0
1412,CAN,512,73,16,117,255,147,88,0,0
1425,CAN,256,145,84,46,86,61,0,0,0
1437,CAN,512,61,16,63,2,171,91,0,0
1450,CAN,256,161,64,23,107,116,0,0,0
1462,CAN,512,96,16,96,254,164,80,0,0
1475,CAN,256,48,117,58,120,9,255,0,0
1487,CAN,512,146,16,204,0,143,86,0,0
1500,CAN,256,3,77,43,83,213,255,0,0
1512,CAN,512,123,16,212,0,168,72,0,0
1525,CAN,256,225,123,45,82,181,1,0,0
1537,CAN,512,27,17,167,254,143,85,0,0
1550,CAN,256,220,86,42,82,198,254,0,0
1562,CAN,512,232,15,51,255,140,87,0,0
1575,CAN,256,60,93,64,119,241,0,0,0
1587,CAN,512,97,16,203,0,170,85,0,0
1600,CAN,256,106,82,69,96,16,0,0,0
1612,CAN,512,50,16,226,0,162,84,0,0
1625,CAN,256,67,93,92,104,217,254,0,0
1637,CAN,512,126,16,197,2,172,90,0,0
1650,CAN,256,107,110,43,82,89,255,0,0
1662,CAN,512,179,16,206,0,157,76,0,0
1675,CAN,256,200,107,106,75,167,254,0,0
1687,CAN,512,91,16,211,253,150,79,0,0
1700,CAN,256,166,103,53,100,180,255,0,0
1712,CAN,512,121,16,59,254,154,85,0,0
1725,CAN,256,229,101,105,68,3,0,0,0
1737,CAN,512,190,15,146,2,160,79,0,0
1750,CAN,256,80,85,71,117,219,0,0,0
1762,CAN,512,177,16,122,0,156,79,0,0
1775,CAN,256,228,98,54,122,240,254,0,0
1787,CAN,512,154,16,40,1,155,85,0,0
1800,CAN,256,111,97,60,124,78,1,0,0
1812,CAN,512,87,16,239,251,155,85,0,0
1825,CAN,256,100,105,48,102,176,255,0,0
1837,CAN,512,130,16,151,255,151,83,0,0
1850,CAN,256,16,87,38,145,11,0,0,0
1862,CAN,512,167,16,92,249,150,73,0,0
1875,CAN,256,7,111,58,61,51,0,0,0
1887,CAN,512,115,16,54,0,154,82,0,0
1900,CAN,256,122,69,34,113,181,0,0,0
1912,CAN,512,199,16,48,254,161,75,0,0
1925,CAN,256,96,90,87,101,66,0,0,0
1937,CAN,512,104,16,186,255,158,87,0,0
1950,CAN,256,231,91,103,89,84,255,0,0
1962,CAN,512,59,16,72,253,164,91,0,0
1975,CAN,256,235,98,65,104,200,255,0,0
1987,CAN,512,203,16,192,254,149,84,0,0
2000,CAN,256,159,106,46,127,9,0,0,0
2012,CAN,512,88,16,125,255,154,83,0,0
2025,CAN,256,188,84,72,97,136,255,0,0
2037,CAN,512,66,16,35,3,164,78,0,0
2050,CAN,256,223,93,91,101,212,254,0,0
2062,CAN,512,162,16,225,0,163,88,0,0
2075,CAN,256,167,100,29,74,211,0,0,0
2087,CAN,512,110,16,232,255,163,89,0,0
2100,CAN,256,202,113,60,117,124,255,0,0
2112,CAN,512,135,16,89,254,159,89,0,0
2125,CAN,256,123,103,46,76,47,0,0,0
2137,CAN,512,210,16,72,2,164,84,0,0
2150,CAN,256,151,84,76,119,112,255,0,0
2162,CAN,512,38,16,144,0,154,85,0,0
2175,CAN,256,28,95,28,82,15,1,0,0
2187,CAN,512,135,16,199,254,148,84,0,0
2200,CAN,256,108,74,85,91,194,255,0,0
2212,CAN,512,75,16,2,255,166,74,0,0
2225,CAN,256,118,118,47,119,54,255,0,0
2237,CAN,512,104,16,69,254,159,77,0,0
2250,CAN,256,245,62,27,73,185,255,0,0
2262,CAN,512,224,16,249,255,162,98,0,0
2275,CAN,256,68,83,45,96,65,255,0,0
2287,CAN,512,96,16,28,255,157,90,0,0
2300,CAN,256,88,106,47,71,183,0,0,0
2312,CAN,512,182,16,226,0,168,87,0,0
2325,CAN,256,198,90,40,47,177,254,0,0
2337,CAN,512,219,15,187,254,147,75,0,0
2350,CAN,256,185,101,85,180,200,0,0,0
2362,CAN,512,241,16,11,1,151,84,0,0
2375,CAN,256,252,110,41,100,59,1,0,0
2387,CAN,512,167,16,134,255,159,82,0,0
2400,CAN,256,112,93,46,89,116,0,0,0
2412,CAN,512,170,16,40,0,162,87,0,0
2425,CAN,256,125,61,62,127,114,255,0,0
2437,CAN,512,159,16,26,254,159,79,0,0
2450,CAN,256,131,65,54,76,5,1,0,0
2462,CAN,512,214,15,142,1,154,84,0,0
2475,CAN,256,121,95,52,116,68,255,0,0
2487,CAN,512,75,16,40,1,150,90,0,0
2500,CAN,256,142,79,92,59,225,255,0,0
2512,CAN,512,54,16,60,255,159,83,0,0
2525,CAN,256,164,87,36,120,97,255,0,0
2537,CAN,512,212,16,239,254,172,88,0,0
2550,CAN,256,197,94,87,77,111,0,0,0
2562,CAN,512,130,16,7,253,169,87,0,0
2575,CAN,256,140,68,48,81,20,255,0,0
2587,CAN,512,104,16,167,1,155,82,0,0
2600,CAN,256,57,81,75,93,224,255,0,0
2612,CAN,512,81,16,75,0,158,87,0,0
2625,CAN,256,203,109,65,139,22,255,0,0
2637,CAN,512,191,16,29,255,165,86,0,0
2650,CAN,256,102,96,73,130,131,0,0,0
2662,CAN,512,103,16,165,252,158,79,0,0
2675,CAN,256,32,92,47,108,89,254,0,0
2687,CAN,512,86,16,227,255,159,77,0,0
2700,CAN,256,32,83,86,116,92,0,0,0
2712,CAN,512,72,16,244,2,160,88,0,0
2725,CAN,256,213,90,39,120,13,0,0,0
2737,CAN,512,27,16,69,3,163,83,0,0
2750,CAN,256,241,99,71,100,139,255,0,0
2762,CAN,512,221,16,99,254,170,88,0,0
2775,CAN,256,172,78,85,82,17,255,0,0
2787,CAN,512,141,16,60,1,160,82,0,0
2800,CAN,256,189,103,88,117,227,0,0,0
2812,CAN,512,64,16,147,253,168,90,0,0
2825,CAN,256,70,120,54,102,184,255,0,0
2837,CAN,512,234,15,79,0,160,86,0,0
2850,CAN,256,106,97,53,98,120,255,0,0
2862,CAN,512,72,16,72,253,173,84,0,0
2875,CAN,256,165,93,43,99,16,0,0,0
2887,CAN,512,62,17,133,0,157,80,0,0
2900,CAN,256,63,91,75,140,177,255,0,0
2912,CAN,512,78,16,189,255,164,79,0,0
2925,CAN,256,164,99,0,89,134,255,0,0
2937,CAN,512,62,16,44,1,164,80,0,0
2950,CAN,256,205,86,80,94,204,255,0,0
2962,CAN,512,18,16,173,0,166,83,0,0
2975,CAN,256,64,88,49,104,20,0,0,0
2987,CAN,512,223,15,89,1,156,87,0,0
3000,CAN,256,44,109,92,85,7,0,0,0
3012,CAN,512,88,16,98,1,150,80,0,0
3025,CAN,256,173,89,79,90,178,255,0,0
3037,CAN,512,215,16,230,2,146,88,0,0
3050,CAN,256,159,84,51,85,109,0,0,0
3062,CAN,512,126,16,99,255,165,95,0,0
3075,CAN,256,127,84,55,99,4,255,0,0
3087,CAN,512,158,16,2,1,159,84,0,0
3100,CAN,256,174,83,73,125,49,0,0,0
3112,CAN,512,185,15,105,0,153,83,0,0
3125,CAN,256,153,111,23,135,10,255,0,0
3137,CAN,512,11,16,241,0,164,82,0,0
3150,CAN,256,59,100,80,89,231,254,0,0
3162,CAN,512,152,16,223,251,166,82,0,0
3175,CAN,256,204,106,64,90,48,255,0,0
3187,CAN,512,213,16,84,1,169,87,0,0
3200,CAN,256,158,102,53,112,49,0,0,0
3212,CAN,512,105,16,160,2,171,86,0,0
3225,CAN,256,114,100,59,113,64,0,0,0
3237,CAN,512,126,15,24,0,155,89,0,0
3250,CAN,256,142,94,45,102,220,0,0,0
3262,CAN,512,18,16,228,255,158,86,0,0
3275,CAN,256,16,68,60,79,251,0,0,0
3287,CAN,512,211,16,114,0,162,86,0,0
3300,CAN,256,167,109,117,98,226,255,0,0
3312,CAN,512,58,16,248,1,165,98,0,0
3325,CAN,256,147,96,64,106,115,255,0,0
3337,CAN,512,223,15,13,2,172,85,0,0
3350,CAN,256,191,113,57,124,95,0,0,0
3362,CAN,512,67,16,102,4,157,86,0,0
3375,CAN,256,22,68,93,111,47,255,0,0
3387,CAN,512,164,16,221,253,151,89,0,0
3400,CAN,256,230,95,30,124,92,1,0,0
3412,CAN,512,43,16,22,1,145,83,0,0
3425,CAN,256,39,88,80,73,175,255,0,0
3437,CAN,512,217,15,122,255,166,81,0,0
3450,CAN,256,155,111,39,95,9,1,0,0
3462,CAN,512,173,16,244,0,160,81,0,0
3475,CAN,256,183,95,61,130,206,255,0,0
3487,CAN,512,134,16,203,255,156,78,0,0
3500,CAN,256,192,90,29,122,192,255,0,0
3512,CAN,512,163,16,72,2,162,77,0,0
3525,CAN,256,129,118,50,94,152,0,0,0
3537,CAN,512,78,16,112,254,154,85,0,0
3550,CAN,256,63,106,52,85,14,0,0,0
3562,CAN,512,138,16,65,255,163,81,0,0
3575,CAN,256,228,89,52,115,156,255,0,0
3587,CAN,512,155,16,26,255,162,88,0,0
3600,CAN,256,173,106,81,83,137,0,0,0
3612,CAN,512,13,16,65,254,152,81,0,0
3625,CAN,256,243,118,36,119,20,0,0,0
3637,CAN,512,207,16,23,254,158,83,0,0
3650,CAN,256,51,97,61,119,9,1,0,0
3662,CAN,512,157,16,104,2,150,81,0,0
3675,CAN,256,219,93,68,79,137,255,0,0
3687,CAN,512,168,16,64,255,150,80,0,0
3700,CAN,256,102,109,28,99,197,255,0,0
3712,CAN,512,82,16,178,254,151,83,0,0
3725,CAN,256,108,67,61,89,46,2,0,0
3737,CAN,512,117,16,197,254,157,84,0,0
3750,CAN,256,49,97,67,85,67,0,0,0
3762,CAN,512,237,15,251,254,160,74,0,0
3775,CAN,256,144,88,50,109,99,0,0,0
3787,CAN,512,92,16,76,3,153,87,0,0
3800,CAN,256,154,80,77,99,88,0,0,0
3812,CAN,512,204,16,241,2,160,78,0,0
3825,CAN,256,129,109,47,74,53,1,0,0
3837,CAN,512,29,16,118,5,153,82,0,0
3850,CAN,256,212,87,51,86,125,0,0,0
3862,CAN,512,101,16,103,254,163,90,0,0
3875,CAN,256,41,109,47,100,221,254,0,0
3887,CAN,512,64,16,220,255,178,88,0,0
3900,CAN,256,141,84,98,115,8,255,0,0
3912,CAN,512,131,16,0,0,156,83,0,0
3925,CAN,256,27,91,52,124,13,0,0,0
3937,CAN,512,110,16,106,1,168,84,0,0
3950,CAN,256,184,94,49,97,155,0,0,0
3962,CAN,512,90,16,228,2,166,83,0,0
3975,CAN,256,140,92,81,119,201,255,0,0
3987,CAN,512,252,16,57,3,171,85,0,0
4000,CAN,256,126,94,69,121,239,0,0,0
4012,CAN,512,21,17,116,253,158,81,0,0
4025,CAN,256,233,122,37,68,43,0,0,0
4037,CAN,512,181,16,145,2,143,78,0,0
4050,CAN,256,79,96,35,113,6,254,0,0
4062,CAN,512,49,16,3,253,155,84,0,0
4075,CAN,256,130,112,75,120,79,255,0,0
4087,CAN,512,148,16,74,254,176,83,0,0
4100,CAN,256,57,101,63,75,207,0,0,0
4112,CAN,512,19,16,119,1,164,77,0,0
4125,CAN,256,184,110,74,97,204,0,0,0
4137,CAN,512,33,16,114,255,159,81,0,0
4150,CAN,256,216,97,49,102,83,254,0,0
4162,CAN,512,109,16,121,253,179,84,0,0
4175,CAN,256,142,88,42,69,199,0,0,0
4187,CAN,512,186,16,225,254,155,91,0,0
4200,CAN,256,128,104,94,97,92,255,0,0
4212,CAN,512,184,16,246,255,141,97,0,0
4225,CAN,256,174,110,36,127,139,255,0,0
4237,CAN,512,179,16,145,254,147,84,0,0
4250,CAN,256,91,84,30,83,103,255,0,0
4262,CAN,512,125,16,175,255,155,86,0,0
4275,CAN,256,50,86,46,110,108,255,0,0
4287,CAN,512,163,16,166,253,160,79,0,0
4300,CAN,256,96,111,61,96,45,255,0,0
4312,CAN,512,71,16,95,255,155,89,0,0
4325,CAN,256,47,66,74,74,170,255,0,0
4337,CAN,512,60,16,215,254,152,76,0,0
4350,CAN,256,44,103,87,74,197,0,0,0
4362,CAN,512,30,16,171,254,159,82,0,0
4375,CAN,256,80,95,69,87,139,255,0,0
4387,CAN,512,188,15,116,0,159,84,0,0
4400,CAN,256,181,84,46,73,172,0,0,0
4412,CAN,512,88,16,3,1,174,84,0,0
4425,CAN,256,20,99,28,89,56,1,0,0
4437,CAN,512,107,16,252,254,156,82,0,0
4450,CAN,256,178,86,76,140,196,1,0,0
4462,CAN,512,196,16,99,254,159,87,0,0
4475,CAN,256,121,109,74,100,157,0,0,0
4487,CAN,512,90,16,138,255,148,79,0,0
4500,CAN,256,101,96,69,93,221,255,0,0
4512,CAN,512,144,16,15,253,170,83,0,0
4525,CAN,256,250,100,72,113,21,255,0,0
4537,CAN,512,149,16,24,1,158,87,0,0
4550,CAN,256,105,76,44,100,66,254,0,0
4562,CAN,512,131,16,119,253,161,91,0,0
4575,CAN,256,213,92,86,99,141,255,0,0
4587,CAN,512,83,16,71,255,163,86,0,0
4600,CAN,256,150,99,62,93,83,0,0,0
4612,CAN,512,77,16,37,255,149,81,0,0
4625,CAN,256,238,85,76,81,117,0,0,0
4637,CAN,512,183,16,154,255,141,85,0,0
4650,CAN,256,171,80,102,86,28,255,0,0
4662,CAN,512,76,16,192,0,167,85,0,0
4675,CAN,256,47,92,63,73,28,254,0,0
4687,CAN,512,163,16,18,2,161,77,0,0
4700,CAN,256,2,98,82,87,112,1,0,0
4712,CAN,512,139,16,26,5,154,94,0,0
4725,CAN,256,31,104,46,93,251,255,0,0
4737,CAN,512,85,16,109,253,163,90,0,0
4750,CAN,256,226,89,75,111,232,255,0,0
4762,CAN,512,100,16,0,1,177,91,0,0
4775,CAN,256,133,87,51,102,102,255,0,0
4787,CAN,512,76,16,12,1,163,82,0,0
4800,CAN,256,205,98,67,75,149,254,0,0
4812,CAN,512,68,16,238,2,162,86,0,0
4825,CAN,256,21,72,81,136,41,0,0,0
4837,CAN,512,242,15,113,255,161,75,0,0
4850,CAN,256,183,108,69,92,246,254,0,0
4862,CAN,512,9,16,236,0,155,72,0,0
4875,CAN,256,113,78,64,111,232,255,0,0
4887,CAN,512,39,16,38,1,159,88,0,0
4900,CAN,256,19,76,90,102,139,0,0,0
4912,CAN,512,61,16,62,5,153,92,0,0
4925,CAN,256,105,84,66,147,36,1,0,0
4937,CAN,512,206,16,114,1,175,84,0,0
4950,CAN,256,47,108,59,86,74,254,0,0
4962,CAN,512,112,16,150,0,155,76,0,0
4975,CAN,256,79,101,43,113,190,255,0,0
4987,CAN,512,12,17,37,2,144,93,0,0
5000,CAN,256,100,106,38,80,174,0,0,0
5012,CAN,512,209,16,248,253,154,89,0,0
5025,CAN,256,26,79,60,95,188,255,0,0
5037,CAN,512,101,16,59,255,158,88,0,0
5050,CAN,256,200,76,55,109,23,255,0,0
5062,CAN,512,117,16,22,2,153,87,0,0
5075,CAN,256,239,125,47,74,32,0,0,0
5087,CAN,512,169,15,88,255,175,81,0,0
5100,CAN,256,115,121,71,80,235,255,0,0
5112,CAN,512,17,16,140,1,142,84,0,0
5125,CAN,256,39,109,59,80,123,1,0,0
5137,CAN,512,27,16,103,254,148,87,0,0
5150,CAN,256,49,70,44,101,141,255,0,0
5162,CAN,512,122,16,165,255,159,94,0,0
5175,CAN,256,30,100,58,83,156,255,0,0
5187,CAN,512,213,16,0,0,166,87,0,0
5200,CAN,256,3,81,103,111,54,0,0,0
5212,CAN,512,172,16,130,255,166,86,0,0
5225,CAN,256,11,89,73,95,133,0,0,0
5237,CAN,512,9,16,142,0,165,87,0,0
5250,CAN,256,193,79,33,69,4,0,0,0
5262,CAN,512,41,16,202,253,167,77,0,0
5275,CAN,256,234,73,82,115,50,1,0,0
5287,CAN,512,171,16,29,0,165,87,0,0
5300,CAN,256,238,87,64,97,237,0,0,0
5312,CAN,512,105,16,227,255,167,85,0,0
5325,CAN,256,235,95,61,89,187,255,0,0
5337,CAN,512,42,16,51,252,165,90,0,0
5350,CAN,256,29,100,32,120,47,1,0,0
5362,CAN,512,186,16,54,0,148,79,0,0
5375,CAN,256,131,86,22,97,69,1,0,0
5387,CAN,512,31,16,57,0,159,87,0,0
5400,CAN,256,41,89,23,110,34,0,0,0
5412,CAN,512,169,16,180,254,157,91,0,0
5425,CAN,256,111,101,60,141,4,1,0,0
5437,CAN,512,213,16,60,255,162,81,0,0
5450,CAN,256,184,99,23,62,182,0,0,0
5462,CAN,512,40,16,45,2,147,88,0,0
5475,CAN,256,134,92,66,96,61,255,0,0
5487,CAN,512,144,16,66,0,160,82,0,0
5500,CAN,256,46,106,60,68,242,255,0,0
5512,CAN,512,26,16,213,255,169,92,0,0
5525,CAN,256,17,77,66,87,230,0,0,0
5537,CAN,512,52,16,149,254,161,83,0,0
5550,CAN,256,139,101,46,92,137,255,0,0
5562,CAN,512,27,16,112,255,163,94,0,0
5575,CAN,256,108,101,43,80,241,254,0,0
5587,CAN,512,69,16,62,1,154,87,0,0
5600,CAN,256,213,79,77,76,168,255,0,0
5612,CAN,512,79,16,61,254,166,78,0,0
5625,CAN,256,231,113,43,111,195,255,0,0
5637,CAN,512,22,16,1,0,158,82,0,0
5650,CAN,256,108,95,69,84,19,0,0,0
5662,CAN,512,118,16,217,0,155,83,0,0
5675,CAN,256,180,116,89,96,105,0,0,0
5687,CAN,512,88,16,27,255,163,93,0,0
5700,CAN,256,86,107,61,87,81,0,0,0
5712,CAN,512,187,16,253,255,159,89,0,0
5725,CAN,256,230,104,96,124,127,255,0,0
5737,CAN,512,166,16,131,255,155,82,0,0
5750,CAN,256,80,105,47,118,109,2,0,0
5762,CAN,512,240,16,110,2,158,85,0,0
5775,CAN,256,198,85,39,122,91,255,0,0
5787,CAN,512,198,16,107,255,156,78,0,0
5800,CAN,256,201,94,69,138,247,0,0,0
5812,CAN,512,197,16,191,255,155,84,0,0
5825,CAN,256,165,93,46,83,43,0,0,0
5837,CAN,512,47,16,149,4,161,83,0,0
5850,CAN,256,22,98,61,104,124,1,0,0
5862,CAN,512,7,16,37,0,162,87,0,0
5875,CAN,256,152,118,29,73,6,0,0,0
5887,CAN,512,80,16,205,254,156,88,0,0
5900,CAN,256,247,89,68,99,229,0,0,0
5912,CAN,512,103,16,5,0,164,88,0,0
5925,CAN,256,177,103,55,87,215,255,0,0
5937,CAN,512,48,16,163,250,149,81,0,0
5950,CAN,256,116,99,93,95,48,254,0,0
5962,CAN,512,40,16,39,3,160,90,0,0
5975,CAN,256,245,86,24,152,154,255,0,0
5987,CAN,512,66,16,162,253,154,85,0,0
6000,CAN,256,241,89,51,77,16,0,0,0
6012,CAN,512,31,16,238,251,157,82,0,0
6025,CAN,256,208,102,61,121,173,255,0,0
6037,CAN,512,124,16,125,255,164,82,0,0
6050,CAN,256,162,80,44,120,212,255,0,0
6062,CAN,512,66,16,171,0,171,80,0,0
6075,CAN,256,198,84,84,88,194,255,0,0
6087,CAN,512,84,16,246,255,148,79,0,0
6100,CAN,256,204,91,51,109,214,255,0,0
6112,CAN,512,136,16,161,254,165,87,0,0
6125,CAN,256,228,100,73,100,89,255,0,0
6137,CAN,512,103,16,96,255,170,86,0,0
6150,CAN,256,105,91,48,101,31,255,0,0
6162,CAN,512,41,16,97,1,149,82,0,0
6175,CAN,256,41,109,37,91,22,255,0,0
6187,CAN,512,198,16,122,255,165,82,0,0
6200,CAN,256,61,82,65,140,243,0,0,0
6212,CAN,512,61,16,219,254,163,74,0,0
6225,CAN,256,235,79,30,112,156,0,0,0
6237,CAN,512,243,15,182,1,154,86,0,0
6250,CAN,256,173,88,55,91,87,254,0,0
6262,CAN,512,160,16,248,255,153,84,0,0
6275,CAN,256,0,82,52,94,88,1,0,0
6287,CAN,512,163,15,130,0,160,80,0,0
6300,CAN,256,167,90,59,133,197,255,0,0
6312,CAN,512,202,16,66,1,168,86,0,0
6325,CAN,256,171,95,65,100,8,255,0,0
6337,CAN,512,163,16,238,2,178,85,0,0
6350,CAN,256,224,109,48,84,233,255,0,0
6362,CAN,512,210,15,191,0,164,86,0,0
6375,CAN,256,139,101,72,98,3,255,0,0
6387,CAN,512,202,16,68,1,173,83,0,0
6400,CAN,256,146,103,44,77,209,0,0,0
6412,CAN,512,151,16,252,255,169,85,0,0
6425,CAN,256,105,97,39,68,72,255,0,0
6437,CAN,512,73,16,107,252,180,84,0,0
6450,CAN,256,47,97,95,94,108,255,0,0
6462,CAN,512,110,16,134,255,169,82,0,0
6475,CAN,256,12,104,12,96,56,255,0,0
6487,CAN,512,33,16,242,253,163,84,0,0
6500,CAN,256,75,90,72,77,61,0,0,0
6512,CAN,512,85,16,196,255,152,84,0,0
6525,CAN,256,168,84,120,83,215,255,0,0
6537,CAN,512,97,16,55,254,162,81,0,0
6550,CAN,256,179,85,45,71,45,0,0,0
6562,CAN,512,91,16,128,2,163,82,0,0
6575,CAN,256,50,111,70,115,151,255,0,0
6587,CAN,512,19,16,42,0,159,81,0,0
6600,CAN,256,211,118,79,92,45,0,0,0
6612,CAN,512,125,16,235,0,158,88,0,0
6625,CAN,256,121,103,75,72,128,255,0,0
6637,CAN,512,135,16,105,254,168,91,0,0
6650,CAN,256,102,112,55,89,69,0,0,0
6662,CAN,512,23,16,66,1,157,81,0,0
6675,CAN,256,229,131,50,67,38,0,0,0
6687,CAN,512,96,16,216,1,149,82,0,0
6700,CAN,256,105,102,48,91,251,255,0,0
6712,CAN,512,93,16,72,3,173,84,0,0
6725,CAN,256,61,90,59,93,193,255,0,0
6737,CAN,512,24,16,99,0,165,87,0,0
6750,CAN,256,186,105,65,60,132,1,0,0
6762,CAN,512,93,16,126,254,169,92,0,0
6775,CAN,256,182,99,65,78,211,0,0,0
6787,CAN,512,59,16,162,251,166,85,0,0
6800,CAN,256,234,86,47,103,146,0,0,0
6812,CAN,512,156,16,99,254,165,75,0,0
6825,CAN,256,203,81,52,90,104,255,0,0
6837,CAN,512,85,16,68,254,159,81,0,0
6850,CAN,256,185,97,83,124,253,254,0,0
6862,CAN,512,220,16,64,2,183,87,0,0
6875,CAN,256,196,101,50,114,120,0,0,0
6887,CAN,512,164,16,117,252,176,91,0,0
6900,CAN,256,99,84,69,83,21,255,0,0
6912,CAN,512,103,16,217,0,147,89,0,0
6925,CAN,256,153,103,73,104,237,255,0,0
6937,CAN,512,33,16,60,2,149,86,0,0
6950,CAN,256,166,108,60,70,87,1,0,0
6962,CAN,512,100,16,53,0,163,83,0,0
6975,CAN,256,253,84,41,104,45,255,0,0
